"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000243509",48.3915878218695,8.28428799301627,1.73885734354172,4.76421370837862,1.89591486723419e-06,9.06156701018316e-05
"ENSG00000256500",29.3485983916476,7.56356038120587,1.61422961506236,4.6855542177088,2.79203373072421e-06,0.000124588549530217
"ENSG00000196826",23.4303646608579,7.2380895161825,1.93578177488826,3.73910407158384,0.000184677265555574,0.00331670729190434
"ENSG00000196136",979.213420259193,6.98296776620967,0.909954213715162,7.67397706495539,1.66743908049096e-14,3.10905778704103e-11
"ENSG00000253861",17.0214975142921,6.77682794304465,2.82592804741917,2.39808934598802,0.0164808447037733,0.0881998622154707
"ENSG00000112175",59.4874845185812,6.74795828187776,1.11237087142221,6.06628459557759,1.30903087888522e-09,2.69526365763539e-07
"ENSG00000158578",47.1088761356242,6.60858909739387,1.22082040638915,5.41323610156572,6.18957900346323e-08,5.99449264302074e-06
"ENSG00000273259",13.3946374481489,6.43148271304164,1.28774786374449,4.99436488625986,5.90297003195381e-07,3.60646643377477e-05
"ENSG00000170577",18.7577019607177,6.41937334157582,1.34421961244756,4.77553911736744,1.79226446302905e-06,8.71113818657003e-05
"ENSG00000231245",13.0064077221437,6.38940384666944,2.47063298992153,2.58614042341933,0.00970573801221795,0.0612440500196639
"ENSG00000164707",161.659046618588,6.37593108511085,1.00364459292291,6.3527777961143,2.11461070514173e-10,5.82052161355276e-08
"ENSG00000288622",12.6240402704351,6.34562926579232,2.50690657006366,2.53125877987195,0.0113653962191227,0.0682262960821488
"ENSG00000124107",62.8824643656969,6.14739386541992,1.17736695071087,5.221306629771,1.77665082259305e-07,1.35777029810729e-05
"ENSG00000100985",14.8661160136349,6.11952195801487,1.16653545904342,5.24589450802721,1.55525877907631e-07,1.24368384752497e-05
"ENSG00000284976",9.45096921955022,5.92816969261818,3.07594441132662,1.92726814918655,0.0539462208033772,0.193902368080757
"ENSG00000277947",643.299051741877,5.8934474668366,1.87991886813529,3.13494777180591,0.00171884710655891,0.0177372269097904
"ENSG00000275160",9.1735340391403,5.88452943764085,2.67330042879215,2.20122264383865,0.0277202660241398,0.125407826343466
"ENSG00000172724",12.4106044709716,5.86884686695867,1.18086091627174,4.96997299689452,6.69622266932106e-07,4.01604418761643e-05
"ENSG00000260878",8.65562112049133,5.80310384713899,2.33388739458144,2.48645408540788,0.0129023217667267,0.0745103383123094
"ENSG00000112499",14.2362818765696,5.75328539307658,1.13204336316626,5.08221290833326,3.73062912307915e-07,2.52072922324022e-05
"ENSG00000158714",15.3148029380098,5.69657247848708,1.09238674703389,5.21479457156975,1.84021055758041e-07,1.38274901925776e-05
"ENSG00000180638",12.1933842036223,5.64274301924872,1.0653981161719,5.29637037422571,1.18127123884439e-07,9.92877897568809e-06
"ENSG00000306885",7.65594089608167,5.62254779552111,1.7328704133235,3.24464411896648,0.00117597492546119,0.0133581964925651
"ENSG00000287849",7.61339327057195,5.61323551790757,1.14459129565312,4.90413961666951,9.3837730300098e-07,5.25431008483354e-05
"ENSG00000116690",9.93090532058166,5.51377702123185,1.18330970246772,4.65962292858178,3.16789163028905e-06,0.00013783227660637
"ENSG00000163220",117.66942884745,5.41562980388194,0.742838890396247,7.29045002072134,3.08921393235072e-13,2.99184648581626e-10
"ENSG00000174885",9.13478133913466,5.4047287022496,1.11112497457821,4.86419514087629,1.14923488914657e-06,6.18340393339374e-05
"ENSG00000178631",6.15446733412844,5.31343303779407,1.36115077998435,3.90363295229877,9.47594568504732e-05,0.00200799435752271
"ENSG00000149573",101.105017499102,5.29795251385408,0.535014676316472,9.90244333170447,4.06227058543513e-23,4.86265894284254e-19
"ENSG00000168995",8.16314840482655,5.26567392966335,1.03950802188241,5.06554429481738,4.07235067357398e-07,2.69589614590597e-05
"ENSG00000143546",88.5676457034687,5.25719865973478,0.823555455974816,6.3835393495293,1.73041104266861e-10,4.9723646543672e-08
"ENSG00000205038",53.1686237371273,5.15344503880281,0.808744458517533,6.37215499225716,1.86390374397182e-10,5.25567573715411e-08
"ENSG00000184557",300.32242693163,5.1399964854519,0.504405555598939,10.1902059332963,2.19299173828431e-24,5.73445409643965e-20
"ENSG00000163017",42.5153925459924,5.12268945811011,0.822889614800508,6.22524499759545,4.80804076759386e-10,1.16412461140567e-07
"ENSG00000115590",7.50946244873672,5.09969211402918,1.11327415682917,4.58080526054261,4.63188996301628e-06,0.000187781845958004
"ENSG00000285446",5.28143988137959,5.08977063516064,2.24157765495819,2.27061981274772,0.0231700030213719,0.111105898288892
"ENSG00000108342",8.66078948791025,5.08922037533397,1.09058482706804,4.66650575821411,3.06365063639891e-06,0.000133741903991978
"ENSG00000105641",34.70302384307,5.08706813280525,1.01444232963213,5.01464497705845,5.31314781717706e-07,3.32376799692256e-05
"ENSG00000140379",10.1491791807246,5.07725384499269,1.03268427351212,4.91655966418963,8.80783622177966e-07,4.99809705103451e-05
"ENSG00000216490",79.6869258297078,5.02750458873055,0.509337463543648,9.87067504077229,5.57878956309137e-23,4.86265894284254e-19
"ENSG00000128342",13.2253025526564,4.94554420329663,1.00694566467902,4.91143105012833,9.04140811894311e-07,5.08438238499448e-05
"ENSG00000286438",8.12120565386502,4.80699242507796,1.2832332179985,3.74600061598747,0.000179676149220943,0.00324920582709435
"ENSG00000289474",10.5577505400136,4.79806310542526,1.94614639764532,2.46541735566786,0.0136853741698587,0.0776569481064947
"ENSG00000149452",35.2903503866259,4.75255729942891,1.10416142281748,4.30422327860526,1.6757259805829e-05,0.000535025136340197
"ENSG00000027644",26.9551581149975,4.70663904049194,0.979880977223551,4.80327626507047,1.56090284960987e-06,7.89478696604418e-05
"ENSG00000134762",21.6613929647725,4.67201504037055,1.11638078826847,4.18496546112815,2.85209463708285e-05,0.000810645898533471
"ENSG00000118113",3.90384844311844,4.63317564413683,1.27156562943942,3.64367794856127,0.000268769681754765,0.00439253650512834
"ENSG00000204577",20.9906307882108,4.57918911062847,0.681297295175335,6.72127886468417,1.80136461955887e-11,7.35998178700703e-09
"ENSG00000305782",18.6849598212141,4.51937204440628,0.919103185058308,4.9171541540459,8.78114026609086e-07,4.99809705103451e-05
"ENSG00000133742",10.8038399660644,4.48021546174217,1.21228486458939,3.69567879019892,0.000219300089647301,0.00380270427333374
"ENSG00000167644",7.06902580510832,4.466126869295,1.38431899179182,3.22622668313911,0.00125433969311488,0.0139990305741617
"ENSG00000218819",12.5604253135408,4.45117198032322,1.13931520775366,3.90688367014728,9.34941371590196e-05,0.00198773724833841
"ENSG00000174175",6.54947117866741,4.44214199653884,1.09058854871301,4.07316031493358,4.63794762475679e-05,0.00117859759416682
"ENSG00000163739",23.7094492145396,4.43419711453783,0.822290690081291,5.39249339439739,6.9486654778518e-08,6.63141071461119e-06
"ENSG00000152779",60.1593952431366,4.43329864550292,0.769926160303964,5.75808288388678,8.50745834314239e-09,1.18963384072102e-06
"ENSG00000106809",207.01253865659,4.41934196850135,0.744323815750358,5.93739159621834,2.89592398760998e-09,5.2342238278373e-07
"ENSG00000115602",182.154469063471,4.41052008494454,0.951552901488055,4.63507607201585,3.5680624015822e-06,0.00015121760735652
"ENSG00000144644",23.7171769149659,4.37982442728898,1.0541156269568,4.15497533219709,3.25322638266242e-05,0.00089924541945285
"ENSG00000105697",90.2140895319802,4.35712439601901,0.641023912920824,6.79713238179491,1.06722026473411e-11,4.72995639025971e-09
"ENSG00000162267",13.4226760170109,4.35697795337433,0.85818115631543,5.07699093753218,3.83459154537248e-07,2.54702852144522e-05
