,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000135736,39.75106897,1.229804978,0.513386415,2.395476276,0.016598788,0.25634703
ENSG00000137767,156.8354089,1.229464216,0.364894727,3.369366902,0.000753411,0.045521695
ENSG00000244731,1175.539713,1.229384284,0.704026165,1.746219593,0.080772801,0.487054848
ENSG00000301230,6.700920512,1.228803453,0.920421698,1.335043987,0.18186195,0.625031783
ENSG00000159189,497.8827253,1.226350765,0.49532703,2.475840588,0.013292291,0.229962556
ENSG00000169902,602.5332725,1.225641672,0.236712179,5.177771908,2.25E-07,0.00011491
ENSG00000240288,14.14636593,1.225618986,0.469442201,2.610798479,0.009033111,0.19024796
ENSG00000155659,82.04181833,1.225571511,0.661724273,1.852087888,0.064013203,0.448698694
ENSG00000170893,18.66961907,1.222502911,0.370329543,3.301121752,0.000962991,0.052697308
ENSG00000290898,11.769211,1.221024178,0.578647654,2.110134155,0.034846802,0.353017309
ENSG00000168404,43.51951843,1.219836066,0.628091317,1.942131712,0.052121157,0.417066664
ENSG00000184371,465.6513831,1.219544949,0.386576567,3.154730664,0.001606463,0.07073669
ENSG00000101336,39.78208646,1.219019788,0.527464366,2.311094108,0.020827657,0.283725422
ENSG00000171551,11.64025211,1.218223153,0.586391062,2.077492705,0.037756108,0.365437792
ENSG00000203710,16.70341978,1.217823118,0.878147684,1.386809007,0.16550001,0.608934549
ENSG00000262001,15.78949206,1.217820184,0.628518386,1.93760471,0.052671467,0.417732929
ENSG00000075643,9.816331997,1.21750067,0.655539004,1.857251306,0.063275409,0.447335044
ENSG00000290890,63.24750715,1.217309317,0.41147251,2.95842198,0.003092185,0.10842117
ENSG00000268460,30.30304356,1.21620243,0.380368895,3.197428725,0.001386587,0.06434714
ENSG00000041982,46.77588437,1.215595591,0.63418117,1.916795467,0.055263921,0.425303536
ENSG00000135245,360.3162228,1.214302778,0.481279958,2.523069491,0.011633541,0.218521293
ENSG00000256654,15.27074517,1.214028133,0.626247653,1.938575143,0.052553093,0.417732929
ENSG00000151651,18.22196824,1.210838978,0.429692826,2.8179176,0.004833621,0.134984934
ENSG00000239887,40.8878454,1.208360497,0.457458841,2.641462769,0.008254888,0.183802979
ENSG00000258498,46.21556338,1.206539129,0.521874583,2.311933112,0.02078137,0.283483035
ENSG00000274422,29.48556395,1.20632526,0.515874446,2.338408638,0.01936606,0.272837957
ENSG00000050327,25.28373524,1.205916474,0.451928746,2.668377447,0.007621858,0.175130224
ENSG00000290706,36.50727705,1.205500866,0.5728457,2.104407638,0.035342904,0.355206893
ENSG00000232884,20.63246384,1.204974307,0.578291313,2.083680457,0.037189243,0.363521491
ENSG00000261150,26.49918241,1.204936106,0.624529687,1.929349607,0.053687475,0.420222676
ENSG00000160691,635.5567532,1.204512461,0.267055124,4.510351431,6.47E-06,0.00167865
ENSG00000241484,12.4329529,1.202363886,0.876244401,1.372178681,0.17000782,0.614917796
ENSG00000170160,56.8430657,1.202282428,0.484198269,2.483037436,0.01302674,0.229191628
ENSG00000185864,53.2731663,1.202250417,0.455189862,2.64120649,0.008261135,0.183802979
ENSG00000101335,380.7478924,1.20177043,0.505015714,2.379669378,0.017328177,0.260804222
ENSG00000164949,121.4328498,1.201607801,0.473226121,2.539183167,0.011111163,0.213385307
ENSG00000253230,388.8498913,1.200060313,0.413417185,2.90278285,0.00369863,0.119709162
ENSG00000169403,55.93458797,1.197233151,0.601308567,1.991046224,0.046475806,0.398899776
ENSG00000288873,19.46759334,1.1954659,0.476860461,2.50695119,0.012177753,0.223700714
ENSG00000002016,79.07131313,1.194568682,0.364502002,3.277262336,0.001048189,0.056063324
ENSG00000127241,157.1126877,1.191576092,0.3058482,3.895972228,9.78E-05,0.011097777
ENSG00000164776,185.7541883,1.191054309,0.302883658,3.932382213,8.41E-05,0.010015752
ENSG00000158825,42.77927742,1.190628635,0.583235128,2.041421337,0.041208965,0.377842668
ENSG00000163710,17.75486348,1.189756068,0.496270407,2.397394751,0.016512124,0.25542529
ENSG00000150337,91.30995342,1.187865363,0.555050064,2.140104904,0.03234629,0.343106248
ENSG00000289584,26.08123388,1.186043715,0.561009725,2.114123273,0.03450474,0.352156053
ENSG00000197324,1297.615562,1.18599067,0.297290675,3.989330214,6.63E-05,0.008371965
ENSG00000253730,27.75418614,1.185454819,0.496378659,2.38820666,0.016930818,0.257071462
ENSG00000183010,350.8771476,1.184612476,0.320125492,3.700462801,0.000215207,0.019974129
ENSG00000214274,22.27279338,1.184551661,0.548322214,2.160320396,0.030747875,0.335784381
ENSG00000260337,8.560379834,1.183788266,0.578915634,2.044837271,0.040870904,0.37654451
ENSG00000167553,265.7922664,1.18331535,0.394984025,2.995856222,0.002736754,0.098700396
ENSG00000007866,51.03453219,1.18217472,0.436179277,2.710295472,0.006722329,0.164233012
